featureNumber,network,superclass,class,subclass,Compound_Name,FSW,PPL,size
915,3350,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Massbank:FIO00397 Rebemide,2415231.65,11493466,7.060451015432033
916,3350,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Massbank:FIO00397 Rebemide,612488.87,3224873.6999999997,6.508512710454338
919,9610,Unknown,NA,NA,NA,60250.32000000001,219525.99,5.3414859443749405
920,9610,Unknown,NA,NA,NA,51202.1565,271282.4766666667,5.433421741668869
1031,14110,Unknown,NA,NA,NA,59656.906,226157.08666666667,5.354410200978722
1063,3226,Unknown,NA,NA,NA,0,105943.45,5.025074111431053
1107,14422,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,NA,68035.712,79205.08333333333,4.898753055235599
1179,10675,Unknown,NA,NA,NA,42500.9785,92467.56333333332,4.965989413432499
1184,10675,Unknown,NA,NA,NA,49224.67999999999,82962.765,4.918883217877508
1266,13671,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,NA,11624.046999999999,84632.95199999999,4.927539489344266
1297,841,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,270345.625,342735.15,5.5349586467940926
1299,841,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,176318.20500000002,366666.9733333333,5.5642717936665225
1336,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,75162.5675,36862.215,4.566581427827584
1338,702,Unknown,NA,NA,NA,35117.72,104813.86933333334,5.020418753796561
1339,702,Unknown,NA,NA,AC-LYS-OH - 40.0 eV,45141.2475,279432.1166666667,5.446276320495108
1340,702,Unknown,NA,NA,AC-LYS-OH - 40.0 eV,48833.7135,179415.87333333332,5.253860863435589
1341,702,Unknown,NA,NA,AC-LYS-OH - 40.0 eV,25215.6785,153995.088,5.1875068683136245
1342,702,Unknown,NA,NA,AC-LYS-OH - 40.0 eV,55436.965,200391.19433333332,5.301878633679914
1345,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,1084.56215,292251.43333333335,5.465756649815848
1346,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,2485.8794,258841.88,5.413034545495174
1347,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,7753.465,2317478.533333333,6.365015719991052
1348,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,0,54185.132666666665,4.733880141029978
1349,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,7753.465,586111.01,5.767979879609455
