Tray,Well,Coral,Date,Treatment code,Treatment,Concentration,Replicate,Directed,Crawling,Not moving,Zombie,Attached/Settled,Total
9,B2,CNAT,10312021,EH,HLB,100,5,8,0,0,0,2,10
9,B3,CNAT,10312021,EP,PPL,100,5,0,2,1,0,7,10
10,A1,CNAT,10312021,EP,PPL,100,1,2,0,0,0,8,10
10,A2,CNAT,10312021,EP,PPL,100,2,0,2,0,0,8,10
10,A3,CNAT,10312021,EP,PPL,100,3,0,3,0,1,5,9
10,B1,CNAT,10312021,EH,HLB,100,1,0,6,0,0,4,10
10,B2,CNAT,10312021,EH,HLB,100,2,5,0,0,2,2,9
10,B3,CNAT,10312021,EH,HLB,100,3,0,6,0,0,4,10
11,A1,CNAT,10312021,EC,C18,100,1,2,0,0,0,8,10
11,A2,CNAT,10312021,EC,C18,100,2,5,0,0,0,5,10
11,A3,CNAT,10312021,EC,C18,100,3,5,0,0,0,5,10
11,B1,CNAT,10312021,EP,PPL,10,1,2,2,0,0,7,11
11,B2,CNAT,10312021,EP,PPL,10,2,5,0,0,0,4,9
11,B3,CNAT,10312021,EP,PPL,10,3,6,0,0,0,3,9
12,A1,CNAT,10312021,EC,C18,100,4,5,0,0,0,6,11
12,A2,CNAT,10312021,EP,PPL,10,4,0,3,0,0,7,10
12,A3,CNAT,10312021,EH,HLB,10,4,5,0,0,0,5,10
12,B1,CNAT,10312021,EC,C18,100,5,2,0,0,0,7,9
12,B2,CNAT,10312021,EP,PPL,10,5,3,0,0,0,7,10
12,B3,CNAT,10312021,EH,HLB,10,5,4,0,0,0,6,10
13,A1,CNAT,10312021,EH,HLB,10,1,2,0,0,0,7,9
13,A2,CNAT,10312021,EH,HLB,10,2,3,0,0,0,6,9
13,A3,CNAT,10312021,EH,HLB,10,3,4,0,0,0,6,10
13,B1,CNAT,10312021,EC,C18,10,1,9,0,0,0,1,10
13,B2,CNAT,10312021,EC,C18,10,2,4,0,2,0,3,9
13,B3,CNAT,10312021,EC,C18,10,3,7,0,0,0,2,9
14,A1,CNAT,10312021,EC,C18,10,4,4,0,0,0,6,10
14,B1,CNAT,10312021,EC,C18,10,5,6,0,0,0,4,10
