Tray,Well,Coral,Date,Treatment code,Treatment,Concentration,Replicate,Directed,Crawling,Not moving,Zombie,Attached/Settled,Total
7,B2,CNAT,11022021,EH,HLB,1000,5,6,0,0,0,4,10
7,B3,CNAT,11022021,CC,C18 control,100,5,9,0,0,0,1,10
8,A1,CNAT,11022021,CC,C18 control,100,1,7,0,0,0,2,9
8,A2,CNAT,11022021,CC,C18 control,100,2,6,0,0,0,4,10
8,A3,CNAT,11022021,CC,C18 control,100,3,7,0,0,0,3,10
8,B1,CNAT,11022021,EC,C18,1000,1,2,0,0,0,7,9
8,B2,CNAT,11022021,EC,C18,1000,2,0,0,0,0,9,9
8,B3,CNAT,11022021,EC,C18,1000,3,0,0,0,0,10,10
9,A1,CNAT,11022021,EC,C18,1000,4,5,0,0,0,4,9
9,A2,CNAT,11022021,EH,HLB,100,4,3,0,0,0,7,10
9,A3,CNAT,11022021,EP,PPL,100,4,4,0,0,0,6,10
9,B1,CNAT,11022021,EC,C18,1000,5,2,0,0,0,7,9
9,B2,CNAT,11022021,EH,HLB,100,5,9,0,0,0,1,10
9,B3,CNAT,11022021,EP,PPL,100,5,3,0,0,0,7,10
10,A1,CNAT,11022021,EP,PPL,100,1,5,0,0,0,5,10
10,A2,CNAT,11022021,EP,PPL,100,2,1,0,0,0,9,10
10,A3,CNAT,11022021,EP,PPL,100,3,1,0,0,0,9,10
10,B1,CNAT,11022021,EH,HLB,100,1,8,0,0,0,2,10
10,B2,CNAT,11022021,EH,HLB,100,2,9,0,0,0,1,10
10,B3,CNAT,11022021,EH,HLB,100,3,6,0,0,0,4,10
11,A1,CNAT,11022021,EC,C18,100,1,5,0,0,0,4,9
11,A2,CNAT,11022021,EC,C18,100,2,10,0,0,0,0,10
11,A3,CNAT,11022021,EC,C18,100,3,8,0,0,0,1,9
11,B1,CNAT,11022021,EP,PPL,10,1,5,0,0,0,4,9
11,B2,CNAT,11022021,EP,PPL,10,2,6,0,0,0,2,8
11,B3,CNAT,11022021,EP,PPL,10,3,7,0,0,0,2,9
12,A1,CNAT,11022021,EC,C18,100,4,5,0,0,0,4,9
12,A2,CNAT,11022021,EP,PPL,10,4,6,0,0,0,4,10
12,A3,CNAT,11022021,EH,HLB,10,4,7,0,0,0,3,10
12,B1,CNAT,11022021,EC,C18,100,5,5,0,0,0,5,10
12,B2,CNAT,11022021,EP,PPL,10,5,8,0,0,0,2,10
12,B3,CNAT,11022021,EH,HLB,10,5,7,0,0,0,3,10
13,A1,CNAT,11022021,EH,HLB,10,1,8,0,0,0,2,10
13,A2,CNAT,11022021,EH,HLB,10,2,6,0,0,0,3,9
13,A3,CNAT,11022021,EH,HLB,10,3,5,0,0,0,5,10
13,B1,CNAT,11022021,EC,C18,10,1,7,0,0,0,2,9
13,B2,CNAT,11022021,EC,C18,10,2,8,0,0,0,1,9
13,B3,CNAT,11022021,EC,C18,10,3,9,0,0,0,1,10
14,A1,CNAT,11022021,EC,C18,10,4,9,0,0,0,0,9
14,B1,CNAT,11022021,EC,C18,10,5,8,0,0,0,1,9
21,A1,PSTRI,11022021,CW,Water control,100,1,9,0,0,0,1,10
21,A2,PSTRI,11022021,CW,Water control,100,2,10,0,0,0,0,10
21,A3,PSTRI,11022021,CW,Water control,100,3,5,0,1,0,4,10
21,B1,PSTRI,11022021,EW,CCA exudate,100,1,0,0,0,0,8,8
21,B2,PSTRI,11022021,EW,CCA exudate,100,2,0,0,1,0,8,9
21,B3,PSTRI,11022021,EW,CCA exudate,100,3,0,0,0,0,11,11
22,A1,PSTRI,11022021,CW,Water control,100,4,4,0,0,0,4,8
22,A2,PSTRI,11022021,EW,CCA exudate,100,4,0,0,3,0,7,10
22,A3,PSTRI,11022021,FC,Fire coral,100,4,5,0,0,0,4,9
22,B1,PSTRI,11022021,CW,Water control,100,5,4,0,0,0,6,10
22,B2,PSTRI,11022021,EW,CCA exudate,100,5,2,0,4,0,4,10
22,B3,PSTRI,11022021,FC,Fire coral,100,5,1,0,0,0,9,10
23,A1,PSTRI,11022021,FC,Fire coral,100,1,3,0,0,0,7,10
23,A2,PSTRI,11022021,FC,Fire coral,100,2,5,0,0,0,5,10
23,A3,PSTRI,11022021,FC,Fire coral,100,3,4,0,0,0,6,10
23,B1,PSTRI,11022021,FH,Fire Coral X CCA,100,1,2,0,0,0,8,10
23,B2,PSTRI,11022021,FH,Fire Coral X CCA,100,2,3,0,0,0,7,10
23,B3,PSTRI,11022021,FH,Fire Coral X CCA,100,3,1,0,0,0,9,10
24,A1,PSTRI,11022021,FH,Fire Coral X CCA,100,4,0,0,2,0,8,10
24,B1,PSTRI,11022021,FH,Fire Coral X CCA,100,5,1,0,0,0,9,10
